"Now Shopping by","تسوق الآن من"
"Something went wrong while getting the image url.","حدث خطأ أثناء الحصول على عنوان url للصورة."
"Can't delete root category.","لا يمكن حذف فئة الجذر."
"The value of attribute ""%1"" must be unique.","يجب أن تكون قيمة السمة ""%1"" فريدة من نوعها."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","قائمة المنتج الافتراضي الذي تم به الفرز لم يتم إنشاؤه في قائمة المنتجات المتوفرة التي يتم حسبها الفرز."
"No layout updates","لا يوجد تخطيط تحديثات"
"Products only","المنتجات فقط"
"Static block only","تجميد المساحة فقط"
"Static block and products","تجميد المساحة والمنتجات"
"Please select a static block.","الرجاء تحديد كتلة ثابتة."
"Could not save product ""%1"" with position %2 to category %3","تعذر حفظ المنتج ""%1"" مع الموقع %2 للفئة %3"
"Category does not contain specified product","الديلي لا يحتوي على فئة المنتج المحدد"
"Could not save product ""%product"" with position %position to category %category","تعذر حفظ المنتج ""%product"" مع الموقف %position للفئة %category"
"Operation do not allow to move a parent category to any of children category","لا تسمح عملية لنقل فئة أصل إلى أي من فئة الأطفال"
"Could not move category","تعذر نقل الفئة"
"Could not save category: %1","تعذر حفظ الفئة: %1"
"Cannot delete category with id %1","لا يمكن حذف الفئة مع معرف %1"
"-- Please Select a Category --","--الرجاء اختيار فئة-"
"Grid Only","الشبكة فقط"
"List Only","قائمة فقط"
"Grid (default) / List","الشبكه (افتراضي) / قائمة"
"List (default) / Grid","قائمة (افتراضي) / الشبكه"
"Automatic (equalize price ranges)","التلقائي (تكافؤ الأسعار)"
"Automatic (equalize product counts)","التلقائي (معادلة حساب المنتج)"
Manual,دليل
Percent,"النسبة المئوية"
"Product Thumbnail Itself","صورة مصغرة للمنتج نفسه"
"Parent Product Thumbnail","الأم المنتج المصغره"
"12h AM/PM","ساعة 12 ص/م"
24h,"ساعة 24"
Stretch,توسعة
Tile,بلاطة
Top/Left,اعلى/يسار
Top/Right,"اعلى /يمين"
Bottom/Left,"اسفل / يسار"
Bottom/Right,اسفل/يمين
Center,الوسط
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","غير ممتد %1 \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","حدث خطأ أثناء حفظ الملفات."
"File can not be saved to the destination folder.","لا يمكن حفظ الملف إلى المجلد الوجهة."
"Unknown EAV indexer type ""%1"".","نوع الفهرسة EAV غير معروف ""%1""."
"We can't rebuild the index for an undefined product.","لا يمكن إعادة إنشاء الفهرس لمنتج غير معروف."
"Bad value was supplied.","تم تقديم قيمة غير صحيحة."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","الوحدة النمطية للكتالوج المسطح لها حد %2\$d السمات القابلة للتصفية أو الفرز. ""حاليا هناك %1\$d منهم."" ""الرجاء تقليل عدد السمات القابلة للتصفية/الفرز من أجل استخدام هذه الوحدة النمطية"
"Unsupported product type ""%1"".","نوع المنتج غير معتمد ""%1""."
"Please correct the category.","الرجاء تصحيح الفئة."
"Must be category model instance or its id.","يجب أن تكون الفئة مثيل الطراز أو المعرف الخاص به."
"The attribute model is not defined.","لم يتم تعريف نموذج السمة."
"%1 was not found in algorithms","لم يتم العثور على %1 في الخوارزميات"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","لا ممتد %1 \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","غير ممتد %1 \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","جب أن يكون عامل التصفية عامل او اختيار. الرجاء تعيين عامل التصفية الصحيح."
"Clear Price","مسح الأسعار"
"The filters must be an array.","يجب أن تكون عوامل التصفية صفيف."
"Product was not registered","لم يتم تسجيل المنتج"
"Store was not registered","لم يتم تسجيل المتجر"
"Group price must be a number greater than 0.","يجب أن تكون أسعار المجموعة رقم أكبر من 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","محول معرض الصور يجب أن يكون مثل واجهة مدخل التحويل."
"There is no MediaGalleryEntryConverter for given type","لايوجد برنامج تحويل لهذا النوع من ملفات الوسائط"
"SKU length should be %1 characters maximum.","يجب أن يكون طول SKU %1 حرفاً كحد أقصى."
"We found a duplicate website, tier price, customer group and quantity.","وجدنا الموقع مكرر ومستوى الأسعار ومجموعة العملاء والكمية."
"Percentage value must be a number between 0 and 100.","يجب أن تكون قيمة النسبة المئوية رقم بين 0 و 100."
"Invalid option id %1","خيار غير صالح معرف %1"
"Can not create attribute set based on non product attribute set.","لا يمكن إنشاء مجموعة السمات التي تستند إلى سمات بدون منتج."
"Can not create attribute set based on not existing attribute set","لا يمكن إنشاء مجموعة السمات التي تستند إلى قائمة سمات غير موجودة"
"Provided Attribute set non product Attribute set.","سمات المنتج التي تم تعيينها ليست سمات منتج."
"Attribute Set already exists.","تعيين السمة موجودة بالفعل."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","ا أستطع نسخ الملف %1. الرجاء حذف الوسائط مع الصور غير موجودة وحاول مرة أخرى."
"The image content is not valid.","محتوى الصورة غير صالح."
"Cannot save product.","لا يمكن حفظ المنتج."
"Failed to save new media gallery entry.","فشل في حفظ وسائط الإعلام الجديدة المدخلة بالمعرض."
"There is no image with provided ID.","لايوجد أية صورة مع المعرف المعطى."
"Such product doesn't exist","لا يوجد مثل هذا المنتج"
"Such image doesn't exist","هذه الصورة غير موجودة"
"The image does not exist.","الصورة غير موجودة."
"Please correct the image file type.","الرجاء تصحيح نوع ملف الصورة."
"We couldn't move this file: %1.","لا يمكن نقل هذا الملف: %1."
"Can't get information about the picture: %1","لم أتمكن من جلب المعلومات عن الصورة %1"
"The image could not be resized: ","لا يمكن تغيير حجم الصورة: "
"Some images could not be resized. See log file for details.","بعض الصور لا يمكن تغيير حجمها."
"The option type to get group instance is incorrect.","نوع الخيار للحصول على مجموعة مشابهة غير صحيح."
"Select type options required values rows.","حدد نوع الخيارات لقيم الصفوف المطلوبة."
"Could not remove custom option","تعذر إزالة الخيار مخصص"
"Please specify date required option(s).","يرجى تحديد التاريخ المطلوب خيار (خيارات)."
"Please specify time required option(s).","الرجاء تحديد خيار (خيارات) الوقت المطلوب."
